name;type;category;power;accuracy;pp;effect;secondaryEffect
10,000,000 Volt Thunderbolt;Electric;Special;195;0;1;Pikachu-exclusive Z-Move. High critical hit ratio.;0
Absorb;Grass;Special;20;100;25;User recovers half the HP inflicted on opponent.;0
Accelerock;Rock;Physical;40;100;20;User attacks first.;0
Acid;Poison;Special;40;100;30;May lower opponent's Special Defense.;10
Acid Armor;Poison;Status;0;0;20;Sharply raises user's Defense.;0
Acid Downpour;Poison;0;0;0;1;Poison type Z-Move.;0
Acid Spray;Poison;Special;40;100;20;Sharply lowers opponent's Special Defense.;100
Acrobatics;Flying;Physical;55;100;15;Stronger when the user does not have a held item.;0
Acupressure;Normal;Status;0;0;30;Sharply raises a random stat.;0
Aerial Ace;Flying;Physical;60;999;20;Ignores Accuracy and Evasiveness.;0
Aeroblast;Flying;Special;100;95;5;High critical hit ratio.;0
After You;Normal;Status;0;0;15;Gives target priority in the next turn.;0
Agility;Psychic;Status;0;0;30;Sharply raises user's Speed.;0
Air Cutter;Flying;Special;60;95;25;High critical hit ratio.;0
Air Slash;Flying;Special;75;95;15;May cause flinching.;30
All-Out Pummeling;Fighting;0;0;0;1;Fighting type Z-Move.;0
Alluring Voice;Fairy;Special;80;100;10;;0
Ally Switch;Psychic;Status;0;0;15;User switches with opposite teammate.;0
Amnesia;Psychic;Status;0;0;20;Sharply raises user's Special Defense.;0
Anchor Shot;Steel;Physical;80;100;20;The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.;0
Ancient Power;Rock;Special;60;100;5;May raise all user's stats at once.;10
Apple Acid;Grass;Special;80;100;10;Lowers target's Special Defense.;100
Aqua Cutter;Water;Physical;70;100;20;High critical hit ratio.;0
Aqua Jet;Water;Physical;40;100;20;User attacks first.;0
Aqua Ring;Water;Status;0;0;20;Restores a little HP each turn.;0
Aqua Step;Water;Physical;80;100;10;Raises user's Speed.;100
Aqua Tail;Water;Physical;90;90;10;;0
Arm Thrust;Fighting;Physical;15;100;20;Hits 2-5 times in one turn.;0
Armor Cannon;Fire;Special;120;100;5;Lowers user's Defense and Special Defense.;0
Aromatherapy;Grass;Status;0;0;5;Cures all status problems in your party.;0
Aromatic Mist;Fairy;Status;0;0;20;Raises Special Defense of an ally.;0
Assist;Normal;Status;0;0;20;User performs a move known by its allies at random.;0
Assurance;Dark;Physical;60;100;10;Power doubles if opponent already took damage in the same turn.;0
Astonish;Ghost;Physical;30;100;15;May cause flinching.;30
Astral Barrage;Ghost;Special;120;100;5;The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.;0
Attack Order;Bug;Physical;90;100;15;High critical hit ratio.;0
Attract;Normal;Status;0;100;15;If opponent is the opposite gender, it's less likely to attack.;0
Aura Sphere;Fighting;Special;80;999;20;Ignores Accuracy and Evasiveness.;0
Aura Wheel;Electric;Physical;110;100;10;Changes type based on Morpeko's Mode.;100
Aurora Beam;Ice;Special;65;100;20;May lower opponent's Attack.;10
Aurora Veil;Ice;Status;0;0;20;Halves damage from Physical and Special attacks for five turns.;0
Autotomize;Steel;Status;0;0;15;Reduces weight and sharply raises Speed.;0
Avalanche;Ice;Physical;60;100;10;Power doubles if user took damage first.;0
Axe Kick;Fighting;Physical;120;90;10;May confuse opponent. If it misses, the user loses HP.;0
Baby-Doll Eyes;Fairy;Status;0;100;30;Always goes first. Lowers the target's attack.;0
Baddy Bad;Dark;Special;90;100;15;Reduces damage from Physical attacks.;0
Baneful Bunker;Poison;Status;0;0;10;Protects the user and poisons opponent on contact.;0
Barb Barrage;Poison;Physical;60;100;10;"May poison opponent; inflicts double damage if the target is already poisoned.";0
Barrage;Normal;Physical;15;85;20;Hits 2-5 times in one turn.;0
Barrier;Psychic;Status;0;0;20;Sharply raises user's Defense.;0
Baton Pass;Normal;Status;0;0;40;User switches out and gives stat changes to the incoming Pokémon.;0
Beak Blast;Flying;Physical;100;100;15;The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.;0
Beat Up;Dark;Physical;0;100;10;Each Pokémon in user's party attacks.;0
Behemoth Bash;Steel;Physical;100;100;5;Damage doubles if target is Dynamaxed.;0
Behemoth Blade;Steel;Physical;100;100;5;Damage doubles if target is Dynamaxed.;0
Belch;Poison;Special;120;90;10;User must have consumed a Berry.;0
